,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
586,Santiago Rodríguez,uy URU,MFFW,Botafogo–RJ,26-161,2000,10,490,49,32.0,5.4,7,60,1,3,24,1,1.40,10,9,+1,+0.18,+0.27,Matches,86dff811
587,Johan Rojas,co COL,MFFW,Vasco da Gama,23-271,2002,15,764,51,47.2,8.5,9,67,0,6,27,2,1.20,10,12,-2,-0.24,+0.29,Matches,f338069c
588,Benjamín Rollheiser,ar ARG,MFFW,Santos,26-086,2000,14,447,32,27.6,5.0,4,81,1,10,12,3,0.86,7,8,-1,-0.20,-0.05,Matches,e8c4a824
589,Iván Román,cl CHI,DF,Atlético Mineiro,19-341,2006,6,440,73,27.2,4.9,6,73,3,0,,6,1.67,4,2,+2,+0.41,+0.64,Matches,8ee6a7c1
590,Lucas Romero,ar ARG,MF,Cruzeiro,32-061,1994,12,824,69,50.9,9.2,11,74,3,1,9,1,1.58,11,12,-1,-0.11,+0.23,Matches,d89e48b8
591,Ronald,br BRA,MF,Vitória,29-000,1997,7,140,20,9.2,1.6,1,45,0,6,16,10,1.71,0,3,-3,-1.93,-1.86,Matches,cc119c66
592,Ronaldo,br BRA,GK,Bahia,29-300,1996,8,674,84,44.1,7.5,8,84,7,0,,0,2.13,11,4,+7,+0.93,+1.46,Matches,711c08dc
593,Ronaldo,br BRA,MF,Internacional,29-238,1996,8,336,42,20.7,3.7,4,74,0,4,10,5,1.13,3,6,-3,-0.80,-0.94,Matches,8a3b002a
594,Lucas Ronier,br BRA,MF,Coritiba,21-204,2004,15,1215,81,75.0,13.5,15,81,10,0,,1,1.33,17,17,0,0.00,0.00,Matches,d831b6f1
595,Rony,br BRA,MFFW,Santos,31-038,1995,14,878,63,54.2,9.8,10,79,3,4,21,1,1.50,13,11,+2,+0.21,+0.81,Matches,bffd5e50
596,Caio Roque,br BRA,DF,Botafogo–RJ,24-160,2002,3,115,38,7.5,1.3,0,,0,3,38,8,2.33,5,3,+2,+1.57,+1.69,Matches,6345721a
597,Vitor Roque,br BRA,FW,Palmeiras,21-110,2005,7,275,39,17.0,3.1,3,73,0,4,14,0,2.71,10,3,+7,+2.29,+1.62,Matches,cb00f1e6
598,Agustín Rossi,ar ARG,GK,Flamengo,30-301,1995,17,1530,90,100.0,17.0,17,90,17,0,,0,2.00,31,16,+15,+0.88,,Matches,ef223e5f
599,Ruan,br BRA,DF,Atlético Mineiro,27-011,1999,15,1329,89,82.0,14.8,15,89,14,0,,1,1.13,19,22,-3,-0.20,-0.82,Matches,a378a02a
600,José Sabino,br BRA,DF,São Paulo,29-236,1996,15,1258,84,77.7,14.0,15,84,13,0,,0,1.47,20,15,+5,+0.36,+0.85,Matches,e1524457
601,Alan Saldivia,uy URU,DF,Vasco da Gama,24-073,2002,10,900,90,55.6,10.0,10,90,10,0,,6,1.20,14,17,-3,-0.30,+0.20,Matches,b084cda6
602,Daniel Sales,br BRA,DF,Flamengo,19-360,2006,0,,,,,0,,0,0,,6,,,,,,,Matches,098f9d54
