,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
102,André Carrillo,pe PER,MF,Corinthians,35-004,1991,14,8,696,7.7,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,7527558b
103,Rafael Carvalheira,br BRA,MF,Chapecoense,27-023,1999,14,11,893,9.9,2,0,2,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,a204b8fd
104,Mateo Cassierra,co COL,FW,Atlético Mineiro,29-066,1997,14,7,674,7.5,2,1,3,2,0,0,1,0,0.27,0.13,0.40,0.27,0.40,Matches,0f714df2
105,Cássio,br BRA,GK,Cruzeiro,39-012,1987,5,5,421,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d42f6326
106,Rodrigo Castillo,ar ARG,FW,Fluminense,27-112,1999,12,4,509,5.7,3,1,4,3,0,0,1,0,0.53,0.18,0.71,0.53,0.71,Matches,da71df54
107,Franco Catarozzi,uy URU,MF,Remo,26-077,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca82c8ac
108,Caue,br BRA,DF,RB Bragantino,19-187,2006,3,2,179,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b8f62eb5
109,Murilo Cerqueira,br BRA,DF,Palmeiras,29-083,1997,15,15,1306,14.5,1,1,2,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,Matches,10fe831e
110,Kaio César,br BRA,MF,Corinthians,22-123,2004,6,2,295,3.3,1,1,2,1,0,0,2,0,0.31,0.31,0.61,0.31,0.61,Matches,4e232375
111,Kayky Chagas,br BRA,MF,Internacional,23-007,2003,6,0,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17734ea0
112,Chico,br BRA,FWMF,Mirassol,35-032,1991,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bad7d8a9
113,Chiqueti,br BRA,MF,Athletico–PR,20-289,2005,8,0,221,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c1aaf0bf
114,Christian,br BRA,MF,Cruzeiro,25-181,2000,17,15,1249,13.9,5,3,8,5,0,0,1,0,0.36,0.22,0.58,0.36,0.58,Matches,a856b456
115,Mamady Cissé,gn GUI,MF,Atlético Mineiro,19-168,2007,8,0,175,1.9,1,0,1,1,0,0,0,0,0.51,0.00,0.51,0.51,0.51,Matches,431e42f4
116,Walter Clar,py PAR,DFMF,Chapecoense,31-264,1994,10,9,765,8.5,3,1,4,1,2,2,0,0,0.35,0.12,0.47,0.12,0.24,Matches,5f6d3364
117,Claudinho,br BRA,DF,Vitória,25-267,2000,2,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a921647d
118,Robert Conceição,br BRA,MF,Chapecoense,22-333,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7db41b8c
119,Joaquín Correa,ar ARG,FW,Botafogo–RJ,31-309,1994,6,1,183,2.0,0,1,1,0,0,0,3,0,0.00,0.49,0.49,0.00,0.49,Matches,45b9b619
120,Tiago Coser,br BRA,DF,Coritiba,22-153,2004,15,10,912,10.1,1,0,1,1,0,0,1,1,0.10,0.00,0.10,0.10,0.10,Matches,7afb90a6
121,Francisco da Costa,br BRA,FW,Cruzeiro,31-044,1995,7,1,191,2.1,0,1,1,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,Matches,bc16535e
122,Philippe Coutinho,br BRA,MF,Vasco da Gama,34-006,1992,3,3,257,2.9,1,0,1,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches,0ef89a37
123,João Cruz,br BRA,MF,Athletico–PR,20-037,2006,12,3,404,4.5,0,3,3,0,0,0,2,0,0.00,0.67,0.67,0.00,0.67,Matches,6e3b3445
124,Tomás Cuello,ar ARG,MF,Atlético Mineiro,26-105,2000,17,14,1204,13.4,2,1,3,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matches,5c8615dd
125,Carlos Cuesta,co COL,DF,Vasco da Gama,27-101,1999,8,8,719,8.0,0,1,1,0,0,0,1,1,0.00,0.13,0.13,0.00,0.13,Matches,574fff8c
126,Braian Cufré,ar ARG,DFMF,Remo,29-185,1996,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,192c89a6
127,Cuiabano,br BRA,DF,Vasco da Gama,23-122,2003,11,8,771,8.6,2,3,5,2,0,0,2,0,0.23,0.35,0.58,0.23,0.58,Matches,7e49bdbd
128,Matheus Cunha,br BRA,GK,Cruzeiro,25-025,2001,9,8,749,8.3,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,9475960a
129,Danielzinho,br BRA,MF,São Paulo,31-226,1994,16,16,1274,14.2,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches,320de24c
130,Danilo,br BRA,DF,Flamengo,34-338,1991,4,2,205,2.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,94b2001f
131,David,br BRA,FW,Vasco da Gama,30-244,1995,15,10,759,8.4,2,2,4,2,0,0,0,0,0.24,0.24,0.47,0.24,0.47,Matches,92f9ace5
132,Nicolás De La Cruz,uy URU,MF,Flamengo,29-017,1997,10,1,232,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8fda5c72
133,Dell,br BRA,FW,Bahia,18-009,2008,4,0,72,0.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,1c5c98ed
134,Denilson,br BRA,MF,Mirassol,25-087,2001,10,7,491,5.5,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,9144afdf
135,Leonardo Derik,br BRA,MFDF,Athletico–PR,20-329,2005,10,4,505,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,23bc4ec7
136,Arthur Dias,br BRA,DF,Athletico–PR,19-069,2007,17,17,1492,16.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,60a6d677
137,Enzo Díaz,ar ARG,DF,São Paulo,30-193,1995,13,11,927,10.3,0,1,1,0,0,0,7,0,0.00,0.10,0.10,0.00,0.10,Matches,411d2dc0
138,Lautaro Díaz,ar ARG,FW,Santos,28-028,1998,8,2,243,2.7,1,0,1,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches,28b89ba7
139,Dieguinho,br BRA,MF,Corinthians,18-337,2007,8,0,135,1.5,1,0,1,1,0,0,0,0,0.67,0.00,0.67,0.67,0.67,Matches,5c983aa2
140,Diogenes,br BRA,GK,Santos,25-163,2001,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,858e2e40
141,Dodi,br BRA,MF,Grêmio,30-062,1996,6,1,184,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2830b8f7
142,Dodô,br BRA,MF,Remo,31-286,1994,1,0,24,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,af7fd224
143,Eduardo Doma,br BRA,DF,Chapecoense,27-293,1998,15,15,1280,14.2,1,0,1,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07,Matches,57f4a036
